date,dental,covid-19,death
2018/09/30,51,0,6
2018/10/07,51,0,7
2018/10/14,53,0,7
2018/10/21,49,0,6
2018/10/28,52,0,6
2018/11/04,53,0,6
2018/11/11,50,0,7
2018/11/18,43,0,6
2018/11/25,52,0,7
2018/12/02,53,0,6
2018/12/09,53,0,6
2018/12/16,48,0,8
2018/12/23,37,0,5
2018/12/30,48,0,6
2019/01/06,60,0,6
2019/01/13,56,0,7
2019/01/20,56,0,7
2019/01/27,56,0,7
2019/02/03,58,0,7
2019/02/10,54,0,7
2019/02/17,57,0,7
2019/02/24,57,0,7
2019/03/03,57,0,7
2019/03/10,57,0,6
2019/03/17,58,0,7
2019/03/24,56,0,7
2019/03/31,59,0,7
2019/04/07,55,0,6
2019/04/14,53,0,6
2019/04/21,55,0,6
2019/04/28,56,0,6
2019/05/05,51,0,7
2019/05/12,56,0,7
2019/05/19,53,0,6
2019/05/26,53,0,8
2019/06/02,57,0,6
2019/06/09,54,0,6
2019/06/16,57,0,6
2019/06/23,55,0,5
2019/06/30,50,0,6
2019/07/07,58,0,7
2019/07/14,59,0,7
2019/07/21,58,0,6
2019/07/28,58,0,6
2019/08/04,59,0,6
2019/08/11,58,0,6
2019/08/18,60,0,7
2019/08/25,56,0,6
2019/09/01,53,0,6
2019/09/08,57,0,7
2019/09/15,58,0,7
2019/09/22,56,0,7
2019/09/29,59,0,7
2019/10/06,57,0,7
2019/10/13,57,0,7
2019/10/20,53,0,7
2019/10/27,55,0,9
2019/11/03,61,0,13
2019/11/10,57,0,16
2019/11/17,58,0,11
2019/11/24,49,0,9
2019/12/01,62,0,9
2019/12/08,55,0,9
2019/12/15,55,0,8
2019/12/22,40,0,7
2019/12/29,51,0,8
2020/01/05,59,0,7
2020/01/12,61,0,8
2020/01/19,58,0,10
2020/01/26,59,0,25
2020/02/02,62,0,24
2020/02/09,59,1,23
2020/02/16,62,2,19
2020/02/23,61,5,33
2020/03/01,62,8,39
2020/03/08,57,26,66
2020/03/15,51,51,89
2020/03/22,37,50,100
2020/03/29,34,44,77
2020/04/05,33,36,64
2020/04/12,35,30,53
2020/04/19,36,25,45
2020/04/26,40,23,38
2020/05/03,44,23,35
2020/05/10,49,21,30
2020/05/17,50,19,28
2020/05/24,48,16,25
2020/05/31,55,16,22
2020/06/07,57,23,20
2020/06/14,54,28,19
2020/06/21,58,23,19
2020/06/28,55,22,20
2020/07/05,57,21,22
2020/07/12,57,23,21
2020/07/19,57,26,17
2020/07/26,56,22,16
2020/08/02,61,69,16
2020/08/09,58,19,14
2020/08/16,56,13,13
2020/08/23,56,12,13
2020/08/30,57,14,14
2020/09/06,56,15,12
2020/09/13,56,19,12
2020/09/20,55,14,12
2020/09/27,56,13,12
2020/10/04,58,14,11
2020/10/11,55,12,10
2020/10/18,56,13,10
2020/10/25,53,13,11
2020/11/01,49,11,9
2020/11/08,57,13,10
2020/11/15,58,14,10
2020/11/22,48,13,10
2020/11/29,56,13,10
2020/12/06,53,15,11
2020/12/13,55,16,11
2020/12/20,40,16,10
2020/12/27,45,15,11
2021/01/03,57,17,12
2021/01/10,55,19,12
2021/01/17,56,19,12
2021/01/24,56,18,12
2021/01/31,56,20,11
2021/02/07,55,21,10
2021/02/14,57,22,9
2021/02/21,59,23,9
2021/02/28,60,26,9
2021/03/07,55,27,9
2021/03/14,57,22,10
2021/03/21,57,23,9
2021/03/28,54,24,9
2021/04/04,54,64,10
2021/04/11,60,25,10
2021/04/18,56,26,11
2021/04/25,56,28,11
2021/05/02,57,25,10
2021/05/09,55,39,10
2021/05/16,57,25,9
2021/05/23,56,23,9
2021/05/30,54,22,8
2021/06/06,58,22,8
2021/06/13,57,21,8
2021/06/20,58,27,8
2021/06/27,57,22,8
2021/07/04,53,23,8
2021/07/11,57,23,9
2021/07/18,60,23,10
2021/07/25,60,24,9
2021/08/01,58,50,10
2021/08/08,56,26,9
2021/08/15,58,26,9
2021/08/22,57,25,10
2021/08/29,55,29,9
2021/09/05,55,23,9
2021/09/12,60,23,9
2021/09/19,56,20,10
2021/09/26,55,17,8
2021/10/03,59,17,8
2021/10/10,56,15,8
2021/10/17,55,15,8
2021/10/24,55,14,8
2021/10/31,59,14,8
2021/11/07,58,15,8
2021/11/14,58,16,8
2021/11/21,51,16,7
2021/11/28,56,18,8
2021/12/05,56,17,8
2021/12/12,56,54,8
2021/12/19,45,20,9
2021/12/26,45,22,9
2022/01/02,53,31,10
2022/01/09,55,29,10
2022/01/16,52,65,9
2022/01/23,52,20,9
2022/01/30,57,16,8
2022/02/06,57,15,8
2022/02/13,56,13,8
2022/02/20,53,12,8
2022/02/27,55,11,8
2022/03/06,57,9,8
2022/03/13,55,8,7
2022/03/20,60,9,8
2022/03/27,55,8,9
2022/04/03,58,8,8
2022/04/10,52,6,8
2022/04/17,55,7,8
2022/04/24,53,6,9
2022/05/01,55,6,8
2022/05/08,56,6,7
2022/05/15,55,6,7
2022/05/22,54,6,9
2022/05/29,51,6,8
2022/06/05,57,6,8
2022/06/12,55,6,8
2022/06/19,55,6,7
2022/06/26,54,6,7
2022/07/03,53,6,7
2022/07/10,59,6,7
2022/07/17,58,7,7
2022/07/24,54,6,7
2022/07/31,58,5,7
2022/08/07,57,5,7
2022/08/14,58,5,7
2022/08/21,57,5,7
2022/08/28,56,5,7
2022/09/04,53,4,8
2022/09/11,56,4,8
2022/09/18,58,5,7
2022/09/25,54,4,8
2022/10/02,57,3,7
2022/10/09,54,4,7
2022/10/16,56,4,7
2022/10/23,57,3,7
2022/10/30,57,3,7
2022/11/06,55,3,8
2022/11/13,56,3,7
2022/11/20,46,3,6
2022/11/27,54,3,7
2022/12/04,53,3,9
2022/12/11,54,3,9
2022/12/18,48,3,7
2022/12/25,45,3,14
2023/01/01,57,3,9
2023/01/08,59,3,9
2023/01/15,63,2,8
2023/01/22,61,2,8
2023/01/29,61,2,8
2023/02/05,61,2,7
2023/02/12,58,2,7
2023/02/19,58,2,7
2023/02/26,59,2,7
2023/03/05,60,2,7
2023/03/12,58,2,7
2023/03/19,61,2,8
2023/03/26,60,2,10
2023/04/02,55,2,7
2023/04/09,58,2,7
2023/04/16,56,2,8
2023/04/23,58,2,8
2023/04/30,56,2,8
2023/05/07,54,2,7
2023/05/14,57,2,7
2023/05/21,60,2,8
2023/05/28,56,2,7
2023/06/04,58,2,7
2023/06/11,60,2,7
2023/06/18,57,1,7
2023/06/25,59,1,7
2023/07/02,56,1,7
2023/07/09,62,1,7
2023/07/16,64,1,7
2023/07/23,60,1,7
2023/07/30,59,1,7
2023/08/06,60,1,9
2023/08/13,58,1,7
2023/08/20,57,2,7
2023/08/27,61,2,7
2023/09/03,56,2,8
2023/09/10,59,2,7
2023/09/17,60,2,7
2023/09/24,32,2,7
